,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAA.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.216800198010354,4.5921821689148254,3.8235779493707334,3.033021407900913,2.5578028985792685,2.5203773981421955,2.132734589265722,1.039201048195084,0.4159632284059391,1.3733538553308346,4.560039814256215,5.050867119496619,0.8221097267021029
AFI.AX,6.995048785997222,6.517908887966824,7.37689027538178,7.452399400800075,5.3315255581863905,5.4740721812156306,9.0957783096872,6.626655522070536,5.098619566291383,6.863645015899813,4.413861284084306,5.037800303058178,4.824046496481851,3.7004973240116064,2.931962054565848,3.8704900151940773,1.5743969693039934,4.770753123118321,2.7032100476133865,3.2874477610600943,0.6711899931871557
AGL.AX,0.0,0.0,2.584706621362557,12.365494442087314,11.10866621733108,10.830874425970606,4.6032802798204315,8.513429800281216,12.80460255714405,3.864032100946027,9.036933083692247,5.715543828432975,4.202253899967325,2.107562057499715,7.572419909417689,3.483281835903962,4.088344681663363,-1.4863894535490516,5.155618063953099,9.067407899034274,0.0
AIA.AX,18.614364362524448,9.199523472274084,6.264289340593844,-2.1457279134005933,4.159616396984137,7.366749363879516,6.818823432661285,5.035068501057765,-1.2188711910351253,4.36209051489648,3.9054178156780996,6.974134911230352,3.2941764103662234,5.177392702238169,2.2097713575212357,0.0,0.0,0.0,1.4745206288457549,4.564506734029683,0.0
ALD.AX,3.235374416083241,-0.21751082970970526,13.349239950431553,0.8333014652720472,0.0,13.263340003106926,7.040110006841455,2.886813035890417,6.399915311747667,3.6852674421804714,-0.20517554508019087,3.1156694060095917,6.519308758306835,6.524544397423885,3.883057373427783,-15.263067997385042,3.171140774970884,3.7931471492887945,3.0163060565016737,-0.8878948470480348,0.0
ALL.AX,2.7163773217081024,13.98608894370421,8.885079786180615,15.457262778918073,0.48874637456531045,-1.1806394162473355,3.3951484742076126,5.496880128454165,2.4029593309393045,-1.7102222377933665,1.2484665549076945,3.001263229639192,6.699903264659486,-4.38679548906881,0.5085476755398497,-0.865282693732098,-1.728178670017856,5.1320194370968775,2.858923056101438,-0.3621057389002904,0.0
ALQ.AX,11.362736992927232,7.573031797679133,10.197195899382816,4.9610983543665865,9.36796425807519,8.486522184694426,-1.9039137544768692,2.5121372783780407,5.852339550144221,7.968140826195537,10.190081166187165,2.177679180718961,-0.3143549182414205,4.587910856541114,1.1680518194650884,-1.2246849590052653,7.80330147513399,2.658310282296827,3.598955261096372,2.3880683723999274,0.0
ALX.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8252041321850518,7.951072705151127,-5.789861224997653,-0.895990581516385,5.735031652400091,2.314375227871788,5.319480986440131,2.289719901494773,5.2436357952063535,2.389381668376932,7.190736038691586,8.410150385824952,0.0
AMC.AX,16.76545962603934,14.725865625364229,13.33683276478302,14.153119542200777,24.430054625369486,10.892117815700825,15.202268417482953,11.618133133871194,10.942492690194435,6.734434792291314,7.841272865724639,5.255938888192019,4.21196483319826,5.47687636600444,15.330327580513393,13.249735169567863,1.9216830022886446,8.634235136709101,1.7200483882614985,6.453204439750217,0.0
AMP.AX,0.0,24.740670462553496,18.688427411322884,-2.6491849288742713,2.7703467372563346,9.061977086924736,5.815605998942416,9.457742714360975,9.75500527684094,5.560596391937944,2.3957581651397293,8.064728009517022,5.953030855910395,8.461753923562421,3.934668804203384,4.869662274887043,0.0,0.0,12.073959239305974,5.019501364244494,0.0
ANN.AX,6.976698036680565,7.205089262810819,5.756533390496482,4.495948851978413,3.041800152073839,7.2090221006197615,5.096151131181607,4.173330794075081,8.235130496074836,3.3880171748053667,4.377780646429689,10.168966665658663,-0.20243677983721842,2.6399162049886318,4.286236079833711,-4.196406658815266,0.5675416815743244,-0.5313340528937389,3.923746514200969,4.393914006235787,0.0
ANZ.AX,17.451553822142124,13.34451365274126,10.157709206969086,7.747959660306508,14.492827248385069,3.8138968496051073,10.252667107527,9.844731120413094,7.123277638946484,7.8069447981561035,10.999538087438602,12.422703895355857,5.089741755550096,7.638689905673669,5.901413425278299,11.637604444763475,7.02223429987169,3.4957802352904963,7.950288735631366,5.083304018864701,0.0
APA.AX,17.64678385246623,18.174702721498466,21.578429906560054,26.64790661466484,41.127535518132945,21.789692890259445,14.22147084316919,9.12729036092741,9.94331147122099,8.810182396093001,3.577874544483924,13.60127865996214,6.438446572333236,8.67215160249999,2.3043762140081583,4.941427685621235,6.613881375378429,4.41790059503387,7.120381955249146,8.130809076551495,0.0
APE.AX,4.463614716935754,20.03663450627598,5.169319144487057,9.31783906083287,26.98817058444777,12.06324576794864,12.74187435414343,11.949001716816854,5.625445642527495,6.205612696564547,4.635111800572013,5.525729023328912,5.191636207425412,5.461323571439721,7.511263143217185,18.809173298601245,3.8331439543248367,5.346929823982789,7.74898698037,-1.1916980744447816,0.0
ARB.AX,2.238616796729777,6.975576917193917,8.593939495552506,7.904589027051973,9.95374261533534,0.05653451776312102,2.073033722354737,4.317916099205701,0.4942703761085228,9.259230379796826,3.305702160542809,2.620479861668893,2.073626667576921,2.452052300984073,1.1120404834277675,5.77084573890017,3.916233181600842,-1.9045552144304718,1.980769523797985,-5.54483214131094,0.0
ARG.AX,3.46265643839484,4.315375857722591,-1.3079035230523162,4.9532733677595395,9.765790196896933,5.362338510033345,5.048882634894534,6.844955263082972,6.437322946571359,6.817200590033841,2.582085029192603,4.925993137344834,3.9731321750754063,4.46802912259399,1.7639335033006116,1.830460412153743,1.915438528196816,1.0118444112069866,2.0264444067053495,3.345442749185916,2.1326827636931256
ASX.AX,6.738107967029219,8.218950092062045,11.986643422914351,7.287827969474742,13.614658345896553,9.17015353470353,11.336109278169413,9.319636610041792,8.477197247480323,6.391702978388068,0.8937580296033348,5.1357656168421855,4.469477730216791,2.5345765323302394,6.076844207613409,4.074468813390355,4.535189949368925,1.4261559505535928,4.191870508721466,3.9471036271274507,0.0
AZJ.AX,0.0,0.0,0.0,0.0,0.0,0.0,2.7920908934075457,2.8588312349112384,7.895219888728757,6.904324522555017,6.119323364512214,12.020814655751881,2.9752761199756916,9.792602023529753,6.255804306941,3.3510782747192325,9.03535991591338,4.450582402915664,4.65652209193645,5.220221647133698,0.0
BEN.AX,12.886420692992107,16.914060744713634,7.423746859139204,14.535965342157475,6.83890277520898,16.42886474304133,15.202569279994487,10.85217175817617,6.829101524103136,9.102868691762541,5.6805219294415945,12.897943151201613,6.364244532438205,6.090286264659856,10.115021686188724,-6.8244112328144215,-2.2247030951102853,4.913884520348848,7.1460301306214316,8.680431328237175,0.0
BGA.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.557163155261698,8.227352620217179,2.642153690444494,0.7544324675602501,-2.1462614138015175,4.455347912709143,4.1314919681076745,-1.1493331402473368,7.392301942195806,1.7274199631160434,-1.4799210027524847,0.7865209133300419,1.785839374383389,0.0
BHP.AX,7.945609486575028,8.109185733655107,4.34997754502656,2.7376362063409663,6.5773824101146525,10.2224598331296,1.5105399344703412,10.268357632753219,10.549110449245191,7.982483958861461,13.239732110743681,2.597773789488633,5.781462767986189,7.43957612222738,22.02677441460527,3.8859528156972987,12.256866699610148,7.622872685057065,1.3108478443687954,10.944021934482965,0.0
BKW.AX,-3.820076675968577,6.136049516155154,0.4957778869840803,-3.3109028291237825,4.112042787337884,3.0579644469379246,4.695967413063045,5.338802957781001,4.300146493979552,2.580648256482073,1.9642056799185341,5.05188368757724,7.312470938278765,8.398930919952827,6.427998108270312,6.4996186566376215,1.2534204846564878,2.8212005754048306,3.5018672299545144,0.7039468202070032,0.0
BOQ.AX,4.742077794008608,8.170748250430886,8.989444093540971,9.12663061892369,6.130170172032932,8.284806112983755,8.088361147005426,11.453648438559313,9.0420550876932,8.013012417045744,6.420669280328234,4.8528118518609515,0.6114416529410729,3.42118486563693,7.386680106878107,1.6720114372341839,4.736802622868549,5.460907048133367,5.23565131348175,2.781145216529432,0.0
