ex_div_date,buy_date,sell_date,buy_price,sell_price,dividend,profit,pct_return,year,ticker
2013-01-02 00:00:00+11:00,2012-12-31 00:00:00+11:00,2013-01-03 00:00:00+11:00,37.52662527015579,37.54102846088102,0.164236,0.17863919072523515,0.4760331882742025,2013,AAA.AX
2013-02-01 00:00:00+11:00,2013-01-31 00:00:00+11:00,2013-02-04 00:00:00+11:00,37.65720679215083,37.666167880520305,0.166942,0.17590308836947344,0.46711666465431584,2013,AAA.AX
2013-03-01 00:00:00+11:00,2013-02-28 00:00:00+11:00,2013-03-04 00:00:00+11:00,37.76391711628699,37.77972086096506,0.150905,0.1667087446780684,0.44144982143859623,2013,AAA.AX
2013-04-02 00:00:00+11:00,2013-03-28 00:00:00+11:00,2013-04-03 00:00:00+11:00,37.87778002848697,37.903809920059686,0.164462,0.1904918915727194,0.5029119748555883,2013,AAA.AX
2013-05-01 00:00:00+10:00,2013-04-30 00:00:00+10:00,2013-05-02 00:00:00+10:00,38.00976458265868,38.01571380265082,0.162754,0.168703219992139,0.4438417912988259,2013,AAA.AX
2013-06-03 00:00:00+10:00,2013-05-31 00:00:00+10:00,2013-06-04 00:00:00+10:00,38.13334969843147,38.1469118812255,0.157863,0.17142518279402452,0.4495413703482642,2013,AAA.AX
2013-07-01 00:00:00+10:00,2013-06-28 00:00:00+10:00,2013-07-02 00:00:00+10:00,38.24973691727447,38.25469783848952,0.15145,0.1564109212150484,0.4089202536303187,2013,AAA.AX
2013-08-01 00:00:00+10:00,2013-07-31 00:00:00+10:00,2013-08-02 00:00:00+10:00,38.36545201777604,38.375931267258395,0.1537,0.16417924948235196,0.42793513655536247,2013,AAA.AX
2013-09-02 00:00:00+10:00,2013-08-30 00:00:00+10:00,2013-09-03 00:00:00+10:00,38.479403065212,38.49164240454485,0.145923,0.15816233933285417,0.4110311666342966,2013,AAA.AX
2013-10-01 00:00:00+10:00,2013-09-30 00:00:00+10:00,2013-10-02 00:00:00+10:00,38.5915508602995,38.603626700236035,0.140716,0.15279183993653334,0.3959204450985559,2013,AAA.AX
2013-11-01 00:00:00+11:00,2013-10-31 00:00:00+11:00,2013-11-04 00:00:00+11:00,38.70382735124811,38.712800297685064,0.146635,0.15560794643695885,0.402047955166741,2013,AAA.AX
2013-12-02 00:00:00+11:00,2013-11-29 00:00:00+11:00,2013-12-03 00:00:00+11:00,38.813277948370185,38.822595305926356,0.142074,0.1513913575561716,0.39005043005528656,2013,AAA.AX
2014-01-02 00:00:00+11:00,2013-12-31 00:00:00+11:00,2014-01-03 00:00:00+11:00,38.9272335513278,38.9270476569499,0.144725,0.14453910562210126,0.37130587621007827,2014,AAA.AX
2014-02-03 00:00:00+11:00,2014-01-31 00:00:00+11:00,2014-02-04 00:00:00+11:00,39.04363017520335,39.056932028922034,0.147075,0.16037685371868804,0.410763171864443,2014,AAA.AX
2014-03-03 00:00:00+11:00,2014-02-28 00:00:00+11:00,2014-03-04 00:00:00+11:00,39.14269511435876,39.15655300801552,0.1327,0.14655789365676242,0.3744195263728798,2014,AAA.AX
2014-04-01 00:00:00+11:00,2014-03-31 00:00:00+11:00,2014-04-02 00:00:00+11:00,39.250344323527806,39.260928029926305,0.143517,0.15410070639850204,0.39260982051087273,2014,AAA.AX
2014-05-01 00:00:00+10:00,2014-04-30 00:00:00+10:00,2014-05-02 00:00:00+10:00,39.36284131887457,39.36911349009851,0.137965,0.14423717122394208,0.3664297758779421,2014,AAA.AX
2014-06-02 00:00:00+10:00,2014-05-30 00:00:00+10:00,2014-06-03 00:00:00+10:00,39.47128102947059,39.48794930864585,0.14114,0.15780827917526352,0.3998053142927855,2014,AAA.AX
