,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAA.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9904149720915782,1.8150461362771964,1.5573029522897457,1.2664664749339352,1.090999551841513,1.0969255767521702,0.9457379712683931,0.46663961983554714,0.18776857342867714,0.6251572803346619,2.1298178665571257,2.4596792945817043,0.41109328409296353
AFI.AX,0.12201318190193033,0.14281690201189567,0.20449696646469206,0.18803405103197868,0.12251791795270872,0.14728220057244057,0.22779323809544127,0.17321736156690815,0.17958321960833024,0.2705989099562012,0.18653910097286097,0.2042883325849676,0.210588397087613,0.17593033882160114,0.14603249245512906,0.21393936264962043,0.116388048624807,0.3366604268351967,0.18501221954459446,0.2353738199064921,0.05023698014698752
AGL.AX,0.0,0.0,0.17201773325166414,0.7259876066659166,0.6807686109850124,0.7784991429100705,0.31365483809452144,0.6510493659086372,1.1239317524614876,0.3362419868366455,0.9122234897719075,0.7093413833625668,0.6840294196373691,0.3270014278603064,1.1427195134479433,0.4350933578456253,0.2006137623007378,-0.10242826115806913,0.443685747876696,0.8926958847286652,0.0
AIA.AX,0.24680795042273163,0.11180089813765126,0.09901499358083443,-0.06352294054226126,0.052493107074723655,0.09200965606224099,0.10409185153073963,0.08557746661993781,-0.03602081308341765,0.1228096491170505,0.14290484473661413,0.40284177524187914,0.18404347265241494,0.29340173066655595,0.16783138787386154,0.0,0.0,0.0,0.10312861367212989,0.32121462884737806,0.0
ALD.AX,0.21618442664665238,-0.053474828755145865,1.719431999017507,-0.0015732176614040583,0.0,0.8772397688462377,0.5979618078662794,0.30608496500591187,0.9051616152741833,0.5822346776849496,-0.005058669247780756,0.7481756969822939,1.497560820094055,1.6001269686591115,0.7967337464269448,-4.0350527931976465,0.7313738951328439,1.1515227357698095,1.0418164270459478,-0.48890334341709263,0.0
ALL.AX,0.1869337294633766,1.1184102624148924,0.709979827699657,0.5641953893001279,0.02764026828580146,-0.03443623750628344,0.04832833608931275,0.11996989558381532,0.086286721900382,-0.09648547595291657,0.10372939088200006,0.3069153997346863,1.3184906031162598,-1.0683759281238743,0.24136219292101657,-0.26612361708586363,-0.759885158556358,1.6981403409542253,1.0995301761824123,0.13985685404348658,0.0
ALQ.AX,0.10464861785530866,0.13017327035029913,0.3186120015676721,0.12065735342188022,0.24446830756341464,0.33922707412649444,-0.11413167981908146,0.14201118071984453,0.35061108453060363,0.3309875406006335,0.34675808457255997,0.06916258491515404,-0.029154347054932472,0.2899791352019294,0.12981032848625418,-0.12917037075463522,0.874145283928911,0.30716870060242485,0.4098886292217596,0.35125246770836505,0.0
ALX.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010480049142072012,0.14688180033301101,-0.13083632033515835,-0.026999215792591347,0.19357497484043762,0.05941634561654663,0.269453669440356,0.10317295943853821,0.2306293557610788,0.1313967789014967,0.3903727302908351,0.4002836126912186,0.0
AMC.AX,0.3435296793550826,0.32599416640032386,0.32751129159473225,0.3249654317800297,0.4658459567138238,0.3304135271073867,0.505850306002571,0.43961876838066116,0.5928725126843961,0.4689066987509003,0.7083471197687707,0.537000375655035,0.44780485240052137,0.5751608470269911,1.7896963228351481,1.5703362836525692,0.26846985658022327,1.3619045540618693,0.23584180137237887,1.0004098901175666,0.0
AMP.AX,0.0,0.9046338065077126,0.8603011642675726,-0.09322731093287917,0.11157085086012808,0.26691647511447547,0.17386350364947312,0.24536103909697404,0.3092484913029119,0.19334555647333218,0.10524987013749154,0.3151423400027831,0.23361586317618022,0.2979610288759509,0.07888989286851267,0.0636951600997937,0.0,0.0,0.1265084954540161,0.05839016360787497,0.0
ANN.AX,0.468995267641513,0.44201309146248136,0.44731801887944034,0.363390991989208,0.1719208673332897,0.6282931333740978,0.4953422661763476,0.4606181766453439,1.1449218430788601,0.5073931420967508,0.7725376545485965,1.545737540888382,-0.03289719075200637,0.5433325934177553,0.9713311737402393,-1.3970634436263296,0.07877237996542874,-0.12654172719762258,0.9749301706795279,1.2660735404834291,0.0
ANZ.AX,1.341199912685167,1.3626746614571896,1.1243689549116826,0.6875806964590074,1.1465294758570028,0.43478586342618186,1.0538086485588547,1.1684826978582272,1.204270991147709,1.4328022079401634,1.8890943487257665,2.020897880530608,1.010001870775266,1.4524510389543615,1.1464862030383145,1.7178694792280886,1.5727054472618427,0.7675399196005657,1.7644224071478583,1.5032264707474603,0.0
APA.AX,0.17308644033591758,0.2149794422868856,0.2636944952378806,0.2576189611367088,0.4688645264251545,0.3521567953674112,0.2946047274895549,0.23513405751282113,0.317747077935302,0.3546206764934565,0.1873579251509927,0.754078534882777,0.38532981774336683,0.5624766364466307,0.1928661037092354,0.4143851984758413,0.5236867816536313,0.4270291341719119,0.590243116150484,0.5955179913032937,0.0
APE.AX,0.028838007161800072,0.1318300885256275,0.06184671805457942,0.11734039645414418,0.1673951724174353,0.16162429768926545,0.16435924806227376,0.2176596627350802,0.16444136226428796,0.21321117082233165,0.2325032861922871,0.4182594185683195,0.3261353823270161,0.33880227689118314,0.5203998433520294,0.4453660225132743,0.482546265574781,0.6360824784302324,1.0444466718370808,-0.2191910293475594,0.0
ARB.AX,0.03312537353089051,0.13992825442773804,0.20565457276946164,0.17588206001793916,0.32878350589834104,-0.00787717322528092,0.1197782760573487,0.29370684759224286,0.045177234208500394,0.9006378640173462,0.3382749269694507,0.35668015463156166,0.28393004982203074,0.4225195984559562,0.16250224215139042,1.6191017453582965,1.6499718500366,-0.6862178811024648,0.5502213707328032,-2.640381691731278,0.0
